iter	Passed	Remaining
141	169	1026
142	171	1025
143	172	1023
144	173	1022
145	174	1021
146	175	1017
147	176	1017
148	177	1015
149	178	1013
150	179	1010
151	181	1010
152	182	1009
153	183	1008
154	184	1006
155	185	1006
156	187	1004
157	188	1002
158	189	1000
159	190	999
160	191	997
161	192	995
162	193	993
163	194	992
164	195	991
165	196	989
166	198	988
167	199	986
168	200	984
169	201	982
170	202	981
171	203	979
172	204	976
173	205	975
174	206	973
175	207	972
176	208	970
177	209	968
178	210	966
179	211	964
180	212	963
181	215	967
182	216	967
183	217	965
184	218	964
185	220	963
186	221	962
187	222	960
188	223	959
189	225	959
190	226	958
191	227	957
192	228	954
193	229	953
194	230	952
195	231	951
196	233	950
197	234	950
198	235	949
199	237	949
200	238	948
201	239	947
202	240	945
203	242	944
204	243	943
205	244	941
206	245	940
207	246	940
208	248	938
209	249	938
210	251	939
211	252	937
212	253	936
213	254	934
214	255	933
215	256	932
216	257	930
217	258	928
218	260	927
219	261	926
220	262	926
221	263	925
222	265	923
223	266	922
224	267	921
225	268	920
226	269	918
227	270	916
228	271	914
229	272	913
230	273	911
231	274	910
232	275	908
233	277	907
234	278	906
235	279	905
236	280	904
237	281	902
238	283	901
239	284	899
240	285	898
241	286	896
242	287	894
243	288	892
244	289	891
245	290	889
246	291	887
247	292	886
248	293	885
249	294	883
250	295	881
251	296	879
252	297	878
253	298	876
254	299	875
255	300	873
256	301	872
257	302	870
258	303	868
259	304	867
260	305	865
261	306	864
262	307	862
263	308	861
264	309	859
265	310	857
266	311	856
267	312	854
268	314	854
269	315	853
270	316	851
271	317	849
272	318	848
273	319	847
274	320	845
275	321	844
276	322	842
277	323	841
278	324	839
279	325	837
280	326	836
281	327	834
282	328	833
283	329	831
284	331	830
285	332	829
286	333	827
287	334	826
288	335	824
289	336	823
290	337	822
291	338	820
292	339	819
293	340	818
294	341	817
295	343	815
296	344	814
297	345	812
298	346	811
299	347	810
300	348	809
301	349	807
302	350	806
303	351	804
304	352	803
305	353	801
306	354	800
307	355	798
308	356	797
309	357	795
310	358	794
311	359	792
312	360	791
313	361	790
314	362	788
315	363	787
316	364	785
317	365	784
318	366	782
319	367	781
320	368	779
321	369	778
322	370	776
323	371	775
324	372	774
325	373	772
326	374	771
327	375	769
328	376	768
329	378	768
330	379	766
331	380	765
332	381	764
333	382	763
334	383	762
335	385	761
336	386	759
337	387	758
338	388	757
339	389	756
340	390	754
341	392	755
342	394	755
343	395	754
344	396	752
345	397	751
346	398	750
347	399	748
348	400	747
349	401	746
350	402	744
351	403	743
352	405	742
353	406	741
354	407	740
355	408	738
356	409	737
357	410	735
358	411	734
359	412	733
360	413	731
361	414	730
362	415	729
363	416	727
364	417	726
365	418	725
366	419	724
367	421	723
368	422	722
369	423	721
370	424	719
371	425	718
372	426	716
373	427	715
374	428	713
375	429	712
376	430	710
377	431	709
378	432	708
379	433	706
380	434	705
381	435	704
382	436	703
383	437	701
384	438	700
385	439	699
386	440	698
387	441	696
388	442	695
389	443	694
390	444	693
391	446	692
392	447	690
393	448	689
394	449	688
395	450	687
396	452	686
397	453	685
398	454	684
399	455	683
400	456	681
401	457	680
402	458	678
403	459	677
404	460	676
405	461	674
406	462	673
407	463	672
408	464	670
409	465	670
410	466	668
411	467	667
412	468	666
413	469	664
414	470	663
415	471	662
416	472	660
417	473	659
418	474	658
419	475	656
420	476	655
421	477	654
422	478	653
423	479	651
424	480	650
425	481	649
426	482	647
427	483	646
428	484	645
429	485	644
430	486	642
431	488	641
432	489	640
433	490	639
434	491	637
435	492	636
436	493	635
437	494	634
438	495	632
439	496	631
440	497	630
441	498	629
442	499	627
443	500	626
444	501	625
445	502	623
446	503	622
447	504	621
448	505	620
449	506	618
450	507	617
451	508	616
452	509	615
453	510	613
454	511	612
455	512	611
456	513	609
457	514	608
458	515	607
459	516	606
460	517	604
461	518	603
462	519	602
463	520	601
464	521	599
465	522	598
466	523	597
467	524	596
468	525	594
469	526	593
470	527	592
471	528	591
472	529	590
473	530	588
474	531	587
475	532	586
476	533	585
477	534	583
478	535	582
479	536	581
480	537	580
481	538	578
482	539	577
483	540	576
484	541	574
485	542	573
486	543	572
487	544	571
488	545	569
489	546	568
490	547	567
491	548	566
492	549	564
493	550	563
494	551	562
495	552	561
496	553	560
497	554	559
498	555	557
499	556	556
500	558	555
501	559	555
502	560	553
503	561	552
504	562	551
505	563	550
506	565	549
507	566	548
508	567	546
509	568	545
510	569	544
511	570	543
512	572	543
513	573	541
514	574	540
515	575	539
516	576	538
517	577	537
518	578	536
519	579	535
520	580	533
521	581	532
522	582	531
523	583	530
524	584	529
525	586	528
526	587	526
527	588	525
528	589	524
529	590	523
530	592	522
531	593	521
532	594	520
533	595	519
534	596	518
535	597	517
536	598	516
537	599	515
538	600	513
539	602	512
540	603	511
541	604	510
542	605	509
543	606	508
544	607	506
545	608	505
546	609	504
547	610	503
548	611	502
549	613	501
550	614	500
551	615	499
552	616	498
553	617	497
554	618	496
555	619	494
556	620	493
557	621	492
558	623	491
559	624	490
560	625	489
561	626	488
562	627	487
563	628	485
564	629	484
565	630	483
566	631	482
567	632	481
568	633	480
569	634	478
570	635	477
571	636	476
572	637	475
573	639	474
574	640	473
575	641	471
576	642	470
577	643	469
578	644	468
579	645	467
580	646	466
581	647	465
582	648	463
583	649	462
584	650	461
585	652	460
586	653	459
587	654	458
588	655	457
589	656	456
590	657	455
591	658	454
592	659	452
593	660	451
594	662	450
595	663	449
596	664	448
597	665	447
598	666	446
599	668	445
600	669	444
601	670	443
602	671	442
603	673	441
604	674	440
605	675	439
606	676	437
607	677	436
608	678	435
609	679	434
610	681	433
611	682	432
612	683	431
613	684	430
614	685	429
615	686	428
616	688	427
617	689	426
618	690	424
619	691	423
620	692	422
621	693	421
622	694	420
623	695	419
624	696	418
625	697	416
626	699	415
627	700	414
628	701	413
629	702	412
630	703	411
631	704	410
632	705	409
633	706	408
634	707	406
635	709	405
636	710	404
637	711	403
638	713	402
639	714	401
640	715	400
641	716	399
642	717	398
643	718	397
644	719	396
645	720	394
646	721	393
647	723	392
648	724	391
649	725	390
650	726	389
651	727	388
652	728	387
653	730	386
654	731	385
655	732	383
656	733	382
657	734	381
658	735	380
659	736	379
660	737	378
661	738	377
662	740	376
663	741	375
664	742	374
665	743	372
666	744	371
667	745	370
668	746	369
669	747	368
670	749	367
671	750	366
672	752	365
673	753	364
674	754	363
675	755	362
676	757	361
677	758	360
678	759	359
679	760	357
680	761	356
681	762	355
682	763	354
683	764	353
684	766	352
685	767	351
686	768	350
687	769	349
688	770	347
689	771	346
690	772	345
691	774	344
692	775	343
693	776	342
694	777	341
695	779	340
696	780	339
697	781	338
698	782	336
699	783	335
700	784	334
701	785	333
702	787	332
703	788	331
704	789	330
705	790	329
706	791	327
707	792	326
708	793	325
709	794	324
710	796	323
711	797	322
712	799	321
713	800	320
714	801	319
715	802	318
716	803	317
717	804	316
718	805	314
719	806	313
720	808	312
721	809	311
722	810	310
723	811	309
724	812	308
725	813	307
726	814	306
727	815	304
728	816	303
729	817	302
730	819	301
731	819	300
732	821	299
733	822	297
734	823	296
735	824	295
736	826	294
737	827	293
738	828	292
739	829	291
740	830	290
741	831	289
742	832	287
743	833	286
744	834	285
745	835	284
746	837	283
747	838	282
748	839	281
749	840	280
750	841	279
751	843	278
752	844	276
753	845	275
754	846	274
755	847	273
756	848	272
757	849	271
758	850	270
759	852	269
760	853	267
761	854	266
762	855	265
763	856	264
764	857	263
765	858	262
766	859	261
767	860	260
768	861	258
769	862	257
770	863	256
771	865	255
772	866	254
773	867	253
774	868	252
775	869	251
776	870	249
777	871	248
778	873	247
779	873	246
780	874	245
781	875	244
782	876	243
783	878	242
784	879	240
785	880	239
786	881	238
787	883	237
788	884	236
789	885	235
790	886	234
791	887	233
792	888	232
793	889	230
794	891	229
795	892	228
796	893	227
797	894	226
798	895	225
799	896	224
800	897	222
801	898	221
802	899	220
803	900	219
804	901	218
805	902	217
806	903	216
807	904	214
808	905	213
809	906	212
810	907	211
811	908	210
812	909	209
813	910	208
814	911	207
815	912	205
816	913	204
817	915	203
818	916	202
819	917	201
820	917	200
821	918	198
822	920	197
823	921	196
824	922	195
825	923	194
826	924	193
827	925	192
828	926	191
829	928	190
830	929	189
831	931	188
832	932	186
833	933	185
834	934	184
835	935	183
836	936	182
837	938	181
838	939	180
839	940	179
840	941	177
841	942	176
842	943	175
843	944	174
844	946	173
845	947	172
846	948	171
847	949	170
848	950	169
849	952	168
850	953	166
851	954	165
852	955	164
853	956	163
854	957	162
855	958	161
856	959	160
857	960	159
858	962	157
859	963	156
860	964	155
861	966	154
862	967	153
863	968	152
864	969	151
865	970	150
866	971	149
867	972	147
868	973	146
869	974	145
870	976	144
871	977	143
872	978	142
873	979	141
874	980	140
875	981	138
876	983	137
877	984	136
878	985	135
879	986	134
880	987	133
881	988	132
882	989	131
883	990	129
884	991	128
885	992	127
886	994	126
887	995	125
888	996	124
889	997	123
890	998	122
891	999	121
892	1000	119
893	1001	118
894	1002	117
895	1003	116
896	1004	115
897	1005	114
898	1006	113
899	1007	111
900	1008	110
901	1009	109
902	1011	108
903	1012	107
904	1013	106
905	1014	105
906	1015	104
907	1016	103
908	1017	101
909	1018	100
910	1019	99
911	1020	98
912	1021	97
913	1022	96
914	1024	95
915	1025	94
916	1026	92
917	1027	91
918	1028	90
919	1029	89
920	1030	88
921	1031	87
922	1032	86
923	1033	85
924	1034	83
925	1035	82
926	1037	81
927	1038	80
928	1039	79
929	1040	78
930	1041	77
931	1042	76
932	1044	74
933	1045	73
934	1046	72
935	1047	71
936	1048	70
937	1049	69
938	1050	68
939	1051	67
940	1052	65
941	1053	64
942	1054	63
943	1055	62
944	1056	61
945	1057	60
946	1058	59
947	1059	58
948	1060	57
949	1061	55
950	1062	54
951	1063	53
952	1064	52
953	1066	51
954	1067	50
955	1068	49
956	1069	48
957	1070	46
958	1071	45
959	1072	44
960	1073	43
961	1074	42
962	1075	41
963	1076	40
964	1077	39
965	1078	37
966	1080	36
967	1081	35
968	1082	34
969	1083	33
970	1084	32
971	1085	31
972	1086	30
973	1087	29
974	1088	27
975	1089	26
976	1090	25
977	1091	24
978	1092	23
979	1093	22
980	1094	21
981	1095	20
982	1096	18
983	1097	17
984	1098	16
985	1099	15
986	1100	14
987	1101	13
988	1102	12
989	1103	11
990	1104	10
991	1105	8
992	1107	7
993	1109	6
994	1110	5
995	1111	4
996	1112	3
997	1114	2
998	1115	1
999	1116	0
