iter	RMSE
357	0.1931486729
358	0.1920292646
359	0.1909176362
360	0.1898137312
361	0.1887174932
362	0.1876288666
363	0.1865477965
364	0.1851889431
365	0.1838421195
366	0.1826909825
367	0.1816400692
368	0.1805043557
369	0.1794672675
370	0.1784373717
371	0.1774146166
372	0.1763989512
373	0.1753903251
374	0.1742953325
375	0.1732999674
376	0.1722196039
377	0.1712373186
378	0.1701713788
379	0.1692019946
380	0.1682393298
381	0.1672833371
382	0.166243591
383	0.1653001489
384	0.1643632461
385	0.1633431945
386	0.1623309635
387	0.1613264892
388	0.1603297085
389	0.1593405591
390	0.1583638304
391	0.1574674488
392	0.1564976204
393	0.1556129678
394	0.1546597186
395	0.1537128774
396	0.1527679836
397	0.151833464
398	0.150901712
399	0.1499793388
400	0.1490605391
401	0.1481501401
402	0.1472458391
403	0.1463475908
404	0.1454553502
405	0.1445690728
406	0.1437524283
407	0.1429414424
408	0.1420679892
409	0.1409156309
410	0.1400559608
411	0.1392034352
412	0.1384365818
413	0.1375942717
414	0.1367575765
415	0.1360050834
416	0.1350185534
417	0.1339269693
418	0.1331913366
419	0.1323817689
420	0.1315775921
421	0.1307787666
422	0.1299852534
423	0.128936885
424	0.1282292348
425	0.1275265585
426	0.1268288204
427	0.1260385009
428	0.1252534234
429	0.1244735504
430	0.1237184507
431	0.1229484224
432	0.1222029826
433	0.1214624882
434	0.1207067597
435	0.1199757282
436	0.1192495391
437	0.1185281574
438	0.1178115483
439	0.1170986009
440	0.116391183
441	0.11575504
442	0.1150350814
443	0.1143198847
444	0.1136295101
445	0.1129233081
446	0.1122217723
447	0.1115444044
448	0.1108516849
449	0.1101635381
450	0.1094989205
451	0.1088194153
452	0.1081632499
453	0.1075114037
454	0.1069244357
455	0.10628034
456	0.1056210113
457	0.1049660288
458	0.1043153615
459	0.103668979
460	0.1030447488
461	0.1024245385
462	0.1017901533
463	0.1011776828
464	0.1005692312
465	0.09996522365
466	0.09936452442
467	0.09874931797
468	0.09815622795
469	0.09756702252
470	0.097035502
471	0.09643491256
472	0.09583826768
473	0.09526319183
474	0.09467399814
475	0.09408867065
476	0.09352435634
477	0.09296373066
478	0.09240763794
479	0.09185413286
480	0.09130424229
481	0.09073992361
482	0.0901793034
483	0.08964110784
484	0.08908514514
485	0.08855214276
486	0.08802261593
487	0.08754431786
488	0.08700184636
489	0.08648178092
490	0.08596510556
491	0.08549875835
492	0.08498820207
493	0.08446322977
494	0.08395911069
495	0.08344066531
496	0.08292395177
497	0.08242921836
498	0.08198279687
499	0.08149391935
500	0.08099083053
501	0.0804897372
502	0.08000995702
503	0.07953329769
504	0.07910328605
505	0.07861508559
506	0.07814695042
507	0.07766480822
508	0.07718467262
509	0.07672524259
510	0.0763111608
511	0.07585716375
512	0.07538927319
513	0.07494098625
514	0.07447889505
515	0.07401883319
516	0.07357887665
517	0.07318249243
518	0.07274773629
519	0.07229928781
520	0.07185312229
521	0.07142644164
522	0.07100252961
523	0.07062072413
524	0.07018550349
525	0.06975281293
526	0.06933900252
527	0.06892787637
528	0.06855792712
529	0.06813553239
530	0.06773174481
531	0.06731457225
532	0.0668999609
533	0.06650366607
534	0.06610993978
535	0.06570285255
536	0.06531406498
537	0.06496421721
538	0.06456447481
539	0.06418261491
540	0.06378750211
541	0.06341043073
542	0.06302019383
543	0.06263250002
544	0.06226242514
545	0.06187951254
546	0.06149909328
547	0.06112095647
548	0.06079433997
549	0.06043527471
550	0.06007853224
551	0.05970928515
552	0.05934256153
553	0.05899242691
554	0.05867783848
555	0.05821655241
556	0.05785942283
557	0.05755157258
558	0.05710006787
559	0.05675023458
560	0.05644897367
561	0.05610358606
562	0.05566435022
563	0.05536953334
564	0.05503120071
565	0.0546012692
566	0.05431275426
567	0.05398132977
568	0.05356050163
569	0.05327814982
570	0.0529534898
571	0.05254156842
572	0.0522652441
573	0.05194720799
574	0.05154400098
575	0.05123072697
576	0.05096202026
577	0.05056733896
578	0.05026045163
579	0.04999747239
580	0.04969449086
581	0.04931049985
582	0.04905312256
583	0.04875631778
584	0.04850237745
585	0.04820935317
586	0.0478377838
587	0.04746983693
588	0.04722329906
589	0.04693846821
590	0.04657828449
591	0.04627164028
592	0.04595951554
593	0.04572120364
594	0.04542055504
595	0.04518534586
596	0.04488851315
597	0.04461829777
598	0.0442959973
599	0.04400551175
600	0.04377791671
601	0.0434911111
602	0.04322979845
603	0.04300659371
604	0.04272514619
605	0.04241741813
606	0.04214028049
607	0.04181374465
608	0.04156296494
609	0.04134866407
610	0.04107882852
611	0.0407840244
612	0.0405183088
613	0.04027576068
614	0.04006837248
615	0.03980760141
616	0.03952366694
617	0.03932045384
618	0.03906471904
619	0.03878653071
620	0.03851082199
621	0.03831314158
622	0.03801753345
623	0.03777037965
624	0.03750019609
625	0.03725680533
626	0.03700671051
627	0.03681687266
628	0.03657819595
629	0.03634138999
630	0.03615512473
631	0.03592128609
632	0.03568927565
633	0.03543587275
634	0.03519869606
635	0.03501840101
636	0.03477041125
637	0.03452463376
638	0.03428104822
639	0.03405250616
640	0.03387841529
641	0.03364003136
642	0.03342659238
643	0.03321466201
644	0.03300422867
645	0.03279528085
646	0.03258780718
647	0.03238179636
648	0.03217723721
649	0.03197411864
650	0.03177242966
651	0.03157215938
652	0.031373297
653	0.03117583183
654	0.03097975326
655	0.03078505078
656	0.03059171397
657	0.0303997325
658	0.03020909615
659	0.03001979476
660	0.02983181828
661	0.02964515673
662	0.02945980025
663	0.02927573904
664	0.02909296338
665	0.02891146366
666	0.02873123033
667	0.02855225395
668	0.02837452513
669	0.02819803459
670	0.02802277312
671	0.02784873158
672	0.02767590093
673	0.02750427219
674	0.02733383647
675	0.02716458495
676	0.02699650888
677	0.02682959961
678	0.02666384855
679	0.02649924717
680	0.02633578703
681	0.02617345976
682	0.02601225707
683	0.02585657948
684	0.02570185865
685	0.02554366111
686	0.02539082668
687	0.02523893117
688	0.02508368168
689	0.02493363702
690	0.02478451378
691	0.02463215636
692	0.02448484912
693	0.02433844613
694	0.02419109037
695	0.02404646605
696	0.0239020619
697	0.02375741242
698	0.02361539481
699	0.0234725413
700	0.02333224831
701	0.02319116812
702	0.02305257837
703	0.02291688736
704	0.02277949022
705	0.02264183309
706	0.02250506733
707	0.02236918691
708	0.0222353305
709	0.02210114007
710	0.02196906679
711	0.02183654036
712	0.02170606879
713	0.02157847288
714	0.02144956279
715	0.0213202471
716	0.0211917672
717	0.02106411748
718	0.02093729238
719	0.02081220323
720	0.02068810582
721	0.02056360209
722	0.02044075926
723	0.02032076371
724	0.02019980123
725	0.02007830955
726	0.01995760174
727	0.01983993755
728	0.01972071903
729	0.01960512819
730	0.01948864799
731	0.01937384702
732	0.01925977023
733	0.01914411569
734	0.01903144241
735	0.0189201013
736	0.01880882831
737	0.01869892736
738	0.01858806144
739	0.0184788356
740	0.01836796422
741	0.01826008188
742	0.01815057388
743	0.01804470814
744	0.01793880829
745	0.01783431164
746	0.01772878392
747	0.01762275037
748	0.01751737365
749	0.01741264958
750	0.01730830328
751	0.01720605508
752	0.01710320665
753	0.01700099509
754	0.01689941636
755	0.01679846644
756	0.01669814138
757	0.0165984372
758	0.01649935
759	0.01640201326
760	0.01630411462
761	0.01620682178
762	0.0161097374
763	0.01601362377
764	0.01591810466
765	0.01582317631
766	0.01572997289
767	0.01563618235
768	0.01554297191
769	0.01545033791
770	0.01535781744
771	0.01526630526
772	0.01517747866
773	0.0150882156
774	0.01499832584
775	0.01490899178
776	0.01482020993
777	0.01473197684
778	0.01464428905
779	0.01455714315
780	0.01447053575
781	0.01438555213
782	0.01429998148
783	0.01421438713
784	0.01412985162
785	0.01404583842
786	0.01396234425
787	0.0138787993
788	0.01379813988
789	0.01371723722
790	0.01363570939
791	0.01355468515
792	0.01347416135
793	0.01339413489
794	0.01331460266
795	0.01323556157
796	0.01315807466
797	0.01307997841
798	0.01300174889
799	0.01292459619
800	0.01284791994
801	0.01277171718
802	0.01269535582
803	0.01262007338
804	0.0125468169
805	0.0124734822
806	0.01239953089
807	0.01232603618
808	0.01225299524
809	0.01218040524
810	0.01210761204
811	0.01203589823
812	0.0119646271
813	0.01189480777
814	0.01182438735
815	0.01175374852
816	0.01168417781
817	0.01161503661
818	0.01154632225
819	0.01147736562
820	0.01141083468
821	0.01134436153
822	0.01127726051
823	0.01121057372
824	0.01114429863
825	0.01107843268
826	0.01101230209
827	0.0109472303
828	0.01087022223
829	0.01080729994
830	0.01073144018
831	0.01065625898
832	0.01059467376
833	0.01052061396
834	0.01044721671
835	0.0103871043
836	0.01031478043
837	0.01025547943
838	0.01019657048
839	0.01013601151
840	0.01007783588
841	0.01000784474
842	0.009950454195
843	0.009893443242
844	0.009834764448
845	0.009778463114
846	0.009720510861
847	0.009664910116
848	0.009607675128
849	0.009552766064
850	0.009496239186
851	0.009440093827
852	0.009386185167
853	0.009330734128
854	0.009277495438
855	0.00922272987
856	0.009170152645
857	0.009106873252
858	0.00905500528
859	0.009003480666
860	0.008950408941
861	0.008899524487
862	0.008847107692
863	0.008795044323
864	0.008745085043
865	0.008693663893
866	0.008644324722
867	0.008593537629
868	0.008544810713
869	0.008494649623
870	0.00844652721
871	0.008388602412
872	0.008341128999
873	0.008293970274
874	0.008245355099
875	0.008198781461
876	0.008150764468
877	0.008103070995
878	0.008057342085
879	0.008010235228
880	0.007965073124
881	0.007918545453
882	0.007873942993
883	0.007820208045
884	0.007776205694
885	0.007730818195
886	0.007687361179
887	0.007642531109
888	0.007599612545
889	0.007555332851
890	0.007512945946
891	0.007469209669
892	0.00742576808
893	0.007384147949
894	0.007341239305
895	0.007300134255
896	0.007257751824
897	0.007217155365
898	0.007175292503
899	0.007135198229
900	0.00708663564
901	0.007047081841
902	0.007006242029
903	0.006967177595
904	0.006926837872
905	0.006888256644
906	0.006848410703
907	0.0068103066
908	0.006770948217
909	0.00673185518
910	0.006694438233
911	0.006655823391
912	0.006618868727
913	0.006580726059
914	0.006544227868
915	0.006499820907
916	0.006463815554
917	0.006426602581
918	0.006391042064
919	0.006354283591
920	0.006319162322
921	0.006282852633
922	0.006248165098
923	0.006212298549
924	0.006175646923
925	0.006141591116
926	0.006100034797
927	0.006066439411
928	0.006033068467
929	0.005998466627
930	0.005964098308
931	0.005931327809
932	0.005897378286
933	0.005865012457
934	0.005830429249
935	0.005798471415
936	0.005759352952
937	0.005727827743
938	0.005695072932
939	0.005663937381
940	0.005631581028
941	0.005600830251
942	0.005568867357
943	0.005538496533
944	0.005506034093
945	0.005473806922
946	0.005443967281
947	0.005410862735
948	0.005378002673
949	0.005348708592
950	0.005318231014
951	0.005289299001
952	0.005257209441
953	0.005227287725
954	0.005198879998
955	0.005167377821
956	0.005139325715
957	0.005110108413
958	0.005082403053
959	0.005051638891
960	0.005022953655
961	0.004995750221
962	0.004965548901
963	0.004938686167
964	0.004910674994
965	0.004881026108
966	0.004854649925
967	0.004827148104
968	0.004801097945
969	0.004772142893
970	0.004745140841
971	0.004719562355
972	0.004691136726
973	0.004665878746
974	0.004639509595
975	0.004611603626
976	0.004586802876
977	0.004560912215
978	0.004536418033
979	0.004509164434
980	0.004483743284
981	0.004459692359
982	0.004432936828
983	0.004409187436
984	0.00438276902
985	0.004358093896
986	0.00433477421
987	0.004310396868
988	0.00428736548
989	0.004261712218
990	0.004237776035
991	0.004215161214
992	0.004189976595
993	0.004166473342
994	0.004144267421
995	0.004119542854
996	0.004092715106
997	0.004070942436
998	0.004049317846
999	0.00402518997
